ra,dec,Name,HD,Vmag,bv
001.291250,+45.229167,          ,     3, 6.70, 0.07
001.265833, -0.503056,          ,     6, 6.29, 1.10
001.333750, -5.707500, 33    Psc,    28, 4.61, 1.04
001.425000,+13.396111, 86    Peg,    87, 5.51, 0.90
001.566667,+58.436667,          ,   123, 5.96, 0.67
001.579167,-49.075000,          ,   142, 5.70, 0.52
001.610417,+64.196111, 10    Cas,   144, 5.59,-0.03
001.653333,+29.021389,          ,   166, 6.13, 0.75
001.708750,-23.107500,          ,   203, 6.18, 0.38
001.825833,-17.386389,          ,   256, 6.19, 0.14
001.933750, -2.548889,          ,   315, 6.43,-0.14
001.945000,-22.508889,          ,   319, 5.94, 0.14
002.014583,-33.529444,          ,   344, 5.68, 1.12
002.050417, -2.447778,          ,   352, 6.07, 1.38
002.097083,+29.090556, 21Alp And,   358, 2.06,-0.11
002.072500, -8.823889,          ,   360, 5.99, 1.04
002.170833,+36.626667,          ,   400, 6.19, 0.48
002.139167,-17.577500,          ,   402, 6.06, 1.67
002.217500,+25.462778,          ,   417, 6.23, 0.97
002.334167,+79.714722,          ,   431, 6.01, 0.19
002.294583,+59.149722, 11Bet Cas,   432, 2.27, 0.34
002.260000,+18.211944, 87    Peg,   448, 5.53, 1.04
002.260000,-54.001944,          ,   469, 6.33, 0.74
002.337500,-27.987778,   Kap1Scl,   493, 5.42, 0.42
002.352917,-45.747500,   Eps Phe,   496, 3.88, 1.03
002.509583,+11.145556, 34    Psc,   560, 5.51,-0.07
002.580417,+46.072222, 22    And,   571, 5.03, 0.40
002.623750,+57.165556,          ,   584, 6.74,-0.08
002.578333, -5.248611,          ,   587, 5.84, 0.98
002.508750,-82.223889,   Gam3Oct,   636, 5.28, 1.05
002.678333,-12.580000,          ,   645, 5.85, 1.01
002.660833,-73.224444,          ,   661, 6.64, 0.37
002.816250,-15.468056,  6    Cet,   693, 4.89, 0.49
002.893333,-27.799722,   Kap2Scl,   720, 5.41, 1.34
002.933333,-35.133056,   The Scl,   739, 5.25, 0.44
002.996250,+48.152500,          ,   743, 6.16, 1.45
003.041667,-17.938333,          ,   787, 5.25, 1.48
003.210000,+37.693333,          ,   829, 6.73,-0.13
003.309167,+15.183611, 88Gam Peg,   886, 2.83,-0.23
003.350000,+26.987222,          ,   895, 6.30, 0.65
003.378333,+41.035278, 23    And,   905, 5.72, 0.31
003.425417,-26.021944,          ,   942, 5.94, 1.55
003.434167,-26.284722,          ,   943, 6.31, 1.48
003.509583,+33.206111,          ,   952, 6.25,-0.01
003.650833,+20.206667, 89Chi Peg,  1013, 4.80, 1.57
003.615000, -7.780556,          ,  1014, 5.12, 1.62
003.330833,-84.994167,          ,  1032, 5.77, 1.72
003.660000,-18.932778,  7    Cet,  1038, 4.44, 1.66
003.733750,+22.284167,          ,  1048, 6.24,-0.01
003.745000, +8.820833, 35    Psc,  1061, 5.79, 0.31
003.727083, -9.569722,          ,  1064, 5.75,-0.08
003.779167,+31.535833,          ,  1075, 6.45,
003.794167,+27.283056,          ,  1083, 6.35,-0.02
003.742500,-34.904444,          ,  1089, 6.17, 1.34
004.058333,+76.950833,          ,  1141, 6.35,-0.07
004.090000,+43.594722,          ,  1185, 6.15, 0.05
004.037083,-31.446389,          ,  1187, 5.67, 1.35
003.980000,-75.911389,          ,  1221, 6.49, 1.00
004.142083, +8.240000, 36    Psc,  1227, 6.11, 0.92
004.237917,+61.533333,          ,  1239, 5.74, 0.88
004.177083,-20.210556,          ,  1256, 6.47,-0.09
004.287917,+47.947500,          ,  1279, 5.89,-0.09
004.272917,+38.681667, 24The And,  1280, 4.61, 0.06
004.204167,-78.780556,          ,  1324, 6.77, 0.46
004.429167,+51.433056,          ,  1337, 6.14,-0.13
004.385833,-19.051111,          ,  1343, 6.45, 0.37
004.448750, +1.688889,          ,  1367, 6.17, 0.94
004.582083,+36.785278, 25Sig And,  1404, 4.52, 0.05
004.571667,+11.205833,          ,  1419, 6.05, 1.03
004.675417,+43.791111, 26    And,  1438, 6.11,-0.08
004.659583,+31.517222,          ,  1439, 5.87,-0.01
004.674167, -8.052778,          ,  1461, 6.46, 0.68
004.677500,-43.235278,          ,  1483, 6.33, 1.21
004.857083, -8.823889,  8Iot Cet,  1522, 3.56, 1.22
004.923333,+40.729722,          ,  1527, 6.33, 1.18
005.021667,+48.865278,          ,  1561, 6.52,
005.017917,-64.874722,   Zet Tuc,  1581, 4.23, 0.58
005.101667,+30.935833,          ,  1606, 5.90,-0.10
005.189583,+32.911389,          ,  1632, 5.79, 1.59
005.149583, +8.190278, 41    Psc,  1635, 5.37, 1.34
005.227083,+10.976944,          ,  1663, 6.56,
005.280417,+37.968611, 27Rho And,  1671, 5.18, 0.42
005.162500,-69.625000,   Pi  Tuc,  1685, 5.51,-0.05
005.380000,-28.981667,   Iot Scl,  1737, 5.18, 1.00
005.442917,-20.057778,          ,  1760, 5.12, 1.82
005.606250,+13.482500, 42    Psc,  1796, 6.23, 1.22
005.369167,-77.426944,          ,  1801, 5.97, 1.40
005.715833,-12.209444,  9    Cet,  1835, 6.39, 0.66
005.802500,-31.036111,          ,  1909, 6.55, 0.00
006.065000,+52.020000,          ,  1976, 5.57,-0.12
006.197917,+61.831111, 12    Cas,  2011, 5.40, 0.00
006.123750, -2.219167,          ,  2023, 6.07, 1.22
006.276667,+53.046944,          ,  2054, 5.74,-0.06
006.350833, +1.939722, 44    Psc,  2114, 5.77, 0.86
006.437917,-77.254167,   Bet Hyi,  2151, 2.80, 0.62
006.570833,-42.306111,   Alp Phe,  2261, 2.39, 1.09
006.550833,-43.680000,   Kap Phe,  2262, 3.94, 0.17
006.655833, -0.049722, 10    Cet,  2273, 6.19, 0.90
006.811250,-25.547222,          ,  2363, 5.98, 1.03
007.012083,+17.893056, 47    Psc,  2411, 5.06, 1.65
007.057083,+44.394444,          ,  2421, 5.17, 0.03
006.982083,-33.007222,   Eta Scl,  2429, 4.81, 1.64
007.052917,+16.445000, 48    Psc,  2436, 6.06, 1.58
007.083750,+10.189722,          ,  2454, 6.04, 0.43
007.087917,-20.335000,          ,  2475, 6.43, 0.59
007.110000,-39.915000,          ,  2490, 5.43, 1.56
007.235833,+36.900000,          ,  2507, 6.26, 0.92
007.179583,-50.532778,          ,  2529, 6.26, 1.09
007.729167,+77.019444,          ,  2589, 6.21, 0.84
007.582917,+59.977222,          ,  2626, 5.94, 0.01
007.530417,+29.751667, 28    And,  2628, 5.23, 0.24
007.466250,-14.864167,          ,  2630, 6.14, 0.37
007.453750,-32.116667,          ,  2632, 6.57, 1.34
