bv	T	hex	des	r	g	b
-0.40	 113017	9bb2ff	10203903	155	178	255
-0.35	  56701	9eb5ff	10401279	158	181	255
-0.30	  33605	a3b9ff	10729983	163	185	255
-0.25	  22695	aabfff	11190271	170	191	255
-0.20	  16954	b2c5ff	11716095	178	197	255
-0.15	  13674	bbccff	12307711	187	204	255
-0.10	  11677	c4d2ff	12899071	196	210	255
-0.05	  10395	ccd8ff	13424895	204	216	255
-0.00	  9531	d3ddff	13884927	211	221	255
0.05	  8917	dae2ff	14344959	218	226	255
0.10	  8455	dfe5ff	14673407	223	229	255
0.15	  8084	e4e9ff	15002111	228	233	255
0.20	  7767	e9ecff	15330559	233	236	255
0.25	  7483	eeefff	15659007	238	239	255
0.30	  7218	f3f2ff	15987455	243	242	255
0.35	  6967	f8f6ff	16316159	248	246	255
0.40	  6728	fef9ff	16710143	254	249	255
0.45	  6500	fff9fb	16775675	255	249	251
0.50	  6285	fff7f5	16775157	255	247	245
0.55	  6082	fff5ef	16774639	255	245	239
0.60	  5895	fff3ea	16774122	255	243	234
0.65	  5722	fff1e5	16773605	255	241	229
0.70	  5563	ffefe0	16773088	255	239	224
0.75	  5418	ffeddb	16772571	255	237	219
0.80	  5286	ffebd6	16772054	255	235	214
0.85	  5164	ffe9d2	16771538	255	233	210
0.90	  5052	ffe8ce	16771278	255	232	206
0.95	  4948	ffe6ca	16770762	255	230	202
1.00	  4849	ffe5c6	16770502	255	229	198
1.05	  4755	ffe3c3	16769987	255	227	195
1.10	  4664	ffe2bf	16769727	255	226	191
1.15	  4576	ffe0bb	16769211	255	224	187
1.20	  4489	ffdfb8	16768952	255	223	184
1.25	  4405	ffddb4	16768436	255	221	180
1.30	  4322	ffdbb0	16767920	255	219	176
1.35	  4241	ffdaad	16767661	255	218	173
1.40	  4159	ffd8a9	16767145	255	216	169
1.45	  4076	ffd6a5	16766629	255	214	165
1.50	  3989	ffd5a1	16766369	255	213	161
1.55	  3892	ffd29c	16765596	255	210	156
1.60	  3779	ffd096	16765078	255	208	150
1.65	  3640	ffcc8f	16764047	255	204	143
1.70	  3463	ffc885	16763013	255	200	133
1.75	  3234	ffc178	16761208	255	193	120
1.80	  2942	ffb765	16758629	255	183	101
1.85	  2579	ffa94b	16755019	255	169	75
1.90	  2150	ff9523	16749859	255	149	35
1.95	  1675	ff7b00	16743168	255	123	0
2.00	  1195	ff5200	16732672	255	82	0
