name,ra,dec,radius 
Andromeda,10.93124881,41.12983355,19
Antlia,152.85991891,-33.93236649,12
Apus,243.52252841,-76.99964832,12
Aquarius,334.10819535,-10.32595538,23
Aquila,293.7249968,3.03458014,17
Ara,260.37036803,-56.05552291,15
Aries,39.81194547,20.83096768,17
Auriga,90.09908298,42.17990643,20
Bootes,219.57608687,32.25424205,22
Caelum,71.15303464,-38.17862719,15
Camelopardalis,67.6,69.4,20
Cancer,129.7090417,19.67412273,17
Canes Venatici,197.58058468,40.78156183,12
Canis Major,102.35320818,-22.246063,16
Canis Minor,114.46928857,6.17851084,16
Capricornus,315.5088895,-17.94959936,19
Carina,125,-59.5,23
Cassiopeia,15.54921624,64.40967963,12
Centaurus,196.92230951,-49.5223643,23
Cepheus,343.51170077,72.5,20
Cetus,25.38256487,-8.17783859,30
Chamaeleon,160.03600816,-80.64084385,15
Circinus,220.82928378,-64.15932734,12
Columba,87.3895212,-35.87056749,15
Coma Berenices,191.39834963,23.02151558,15
Corona Australis,279.5644869,-41.45596617,10
Corona Borealis,237.9410307,32.39537741,10
Corvus,186.52013684,-18.5695845,15
Crater,170.92690481,-15.91576644,15
Crux,186.72393335,-60.31815784,10
Cygnus,308.09647811,45.06717246,25
Delphinus,310.14841795,12.16020659,14
Dorado,74.91257576,-61.09314855,15
Draco,243.125,67,27
Equuleus,317.9751992,7.66612084,14
Eridanus,53.08064019,-30.92996223,40
Fornax,41.82199222,-31.98180226,15
Gemini,106.52176435,23.54946306,18
Grus,337.20874569,-46.2148443,15
Hercules,259.17636286,29.01407654,24
Horologium,50.21163546,-53.51584164,16
Hydra,166.08823931,-23.00516219,48
Hydrus,35.48366839,-73.76575521,18
Indus,310.5,-53,16
Lacerta,330.1477821,46.08531207,20
Leo,160.73504862,15.72346968,24
Leo Minor,155.01476186,33.51776079,16
Lepus,83.38869779,-18.98609918,15
Libra,228.15489712,-15.30177944,16
Lupus,229.23350056,-43.47969236,17
Lynx,121.41168837,48.37573515,24
Lyra,283.00591756,37.02463765,12
Mensa,81.71979322,-79.11484306,16
Microscopium,314.46443819,-36.43608921,15
Monoceros,105.11551786,-2.20931736,20
Musca,188.84044596,-70.68088317,14
Norma,239.83254094,-52.24294179,14
Octans,318.92116222,-87.51131791,16
Ophiuchus,260.64454591,-5.97937648,24
Orion,84.4469869,6.84640676,20
Pavo,293.3242529,-66.90868492,18
Pegasus,340.38175235,20.04346085,27
Perseus,48.92752861,47.49350929,20
Phoenix,13.54758192,-48.67551953,15
Pictor,84.61999168,-54.17358306,15
Pisces,8.58529155,11.65058252,27
Piscis Austrinus,334.29140089,-30.90157037,15
Puppis,113.17045206,-34.94251378,19
Pyxis,133.70272992,-27.9084608,18
Reticulum,58.6239336,-60.77309814,14
Sagitta,295.1145817,18.90176844,14
Sagittarius,287.5369865,-28.89569343,23
Scorpius,250.08797579,-30.09790287,23
Sculptor,6.47880193,-32.65232191,20
Scutum,280.28157648,-9.78161005,16
Serpens Caput,236.05375652,10.41226745,17
Serpens Cauda,272.86898959,-5.11889991,20
Sextans,154.08888295,-2.63773723,16
Taurus,68.94495514,17.27741629,23
Telescopium,278.85821258,-51.6267214,13
Triangulum,32.67910614,32.07483456,16
Triangulum Australe,241.42583094,-66.44910017,16
Tucana,356.65032193,-65.80357568,16
Ursa Major,170.46645291,57.63017053,33
Ursa Minor,222.45262344,86.00037964,17
Vela,142.94468435,-48.83106398,22
Virgo,200.51644368,-2.76218514,28
Volans,116.81543769,-70.28661134,16
Vulpecula,303.52273901,24.84455371,19
