ra1,dec1,ra2,dec2,name 
30.975,42.329722,17.432917,35.620556,Andromeda
14.188333,38.499444,17.432917,35.620556,Andromeda
14.188333,38.499444,12.453333,41.078889,Andromeda
9.832083,30.860833,17.432917,35.620556,Andromeda
9.832083,30.860833,2.097083,29.090556,Andromeda
156.787917,-31.067778,149.717917,-35.891111,Antlia
250.769167,-77.5175,248.3625,-78.897222,Apus
221.965,-79.044722,248.3625,-78.897222,Apus
311.919167,-9.495833,322.889583,-5.571111,Aquarius
331.445833,-0.319722,322.889583,-5.571111,Aquarius
331.445833,-0.319722,334.208333,-7.783333,Aquarius
331.609167,-13.869722,334.208333,-7.783333,Aquarius
337.661667,-10.678056,334.208333,-7.783333,Aquarius
337.661667,-10.678056,342.397917,-13.5925,Aquarius
343.6625,-15.820833,342.397917,-13.5925,Aquarius
343.6625,-15.820833,347.361667,-21.1725,Aquarius
331.445833,-0.319722,335.414167,-1.387222,Aquarius
337.20875,-0.02,335.414167,-1.387222,Aquarius
337.20875,-0.02,338.839167,-0.1175,Aquarius
343.15375,-7.579722,338.839167,-0.1175,Aquarius
343.15375,-7.579722,348.972917,-9.087778,Aquarius
350.7425,-20.100556,348.972917,-9.087778,Aquarius
284.905833,15.068333,286.3525,13.863333,Aquila
291.374583,3.114722,286.3525,13.863333,Aquila
291.374583,3.114722,286.562083,-4.8825,Aquila
291.374583,3.114722,298.118333,1.005556,Aquila
302.82625,-0.821389,298.118333,1.005556,Aquila
291.374583,3.114722,297.695833,8.868333,Aquila
296.565,10.613333,297.695833,8.868333,Aquila
298.828333,6.406667,297.695833,8.868333,Aquila
271.657917,-50.091667,261.325,-55.53,Ara
261.348333,-56.3775,261.325,-55.53,Ara
261.348333,-56.3775,262.774583,-60.683889,Ara
252.44625,-59.041389,262.774583,-60.683889,Ara
252.44625,-59.041389,254.655,-55.990278,Ara
262.960417,-49.876111,254.655,-55.990278,Ara
262.960417,-49.876111,271.657917,-50.091667,Ara
42.495833,27.260556,31.793333,23.4625,Aries
28.66,20.808056,31.793333,23.4625,Aries
28.3825,19.295833,28.66,20.808056,Aries
81.572917,28.6075,74.248333,33.166111,Auriga
75.619583,41.075833,74.248333,33.166111,Auriga
75.619583,41.075833,79.1725,45.998056,Auriga
89.882083,44.9475,79.1725,45.998056,Auriga
89.882083,44.9475,89.930417,37.2125,Auriga
81.572917,28.6075,89.930417,37.2125,Auriga
207.369167,15.797778,208.67125,18.397778,Bootes
213.915417,19.1825,208.67125,18.397778,Bootes
213.915417,19.1825,217.9575,30.371389,Bootes
218.019583,38.308333,217.9575,30.371389,Bootes
218.019583,38.308333,225.486667,40.390556,Bootes
228.875833,33.314722,225.486667,40.390556,Bootes
228.875833,33.314722,221.246667,27.074167,Bootes
213.915417,19.1825,221.246667,27.074167,Bootes
