ra,dec,name,hd,vmag,bv,hex 
1.29125,45.229167,,3,6.7,0.07,#dce3ff
1.265833,-0.503056,,6,6.29,1.1,#ffe2bf
1.33375,-5.7075,33 Psc,28,4.61,1.04,#ffe3c3
1.425,13.396111,86 Peg,87,5.51,0.9,#ffe8ce
1.566667,58.436667,,123,5.96,0.67,#fff0e3
1.579167,-49.075,,142,5.7,0.52,#fff6f2
1.610417,64.196111,10 Cas,144,5.59,-0.03,#ccd8ff
1.653333,29.021389,,166,6.13,0.75,#ffeddb
1.70875,-23.1075,,203,6.18,0.38,#fbf7ff
1.825833,-17.386389,,256,6.19,0.14,#e3e8ff
1.93375,-2.548889,,315,6.43,-0.14,#bccdff
1.945,-22.508889,,319,5.94,0.14,#e3e8ff
2.014583,-33.529444,,344,5.68,1.12,#ffe1bd
2.050417,-2.447778,,352,6.07,1.38,#ffd8aa
2.097083,29.090556,21Alp And,358,2.06,-0.11,#c2d0ff
2.0725,-8.823889,,360,5.99,1.04,#ffe3c3
2.170833,36.626667,,400,6.19,0.48,#fff7f7
2.139167,-17.5775,,402,6.06,1.67,#ffca8b
2.2175,25.462778,,417,6.23,0.97,#ffe5c8
2.334167,79.714722,,431,6.01,0.19,#e8ebff
2.294583,59.149722,11Bet Cas,432,2.27,0.34,#f7f5ff
2.26,18.211944,87 Peg,448,5.53,1.04,#ffe3c3
2.26,-54.001944,,469,6.33,0.74,#ffeddc
2.3375,-27.987778,Kap1Scl,493,5.42,0.42,#fef9fd
2.352917,-45.7475,Eps Phe,496,3.88,1.03,#ffe3c4
2.509583,11.145556,34 Psc,560,5.51,-0.07,#c8d5ff
2.580417,46.072222,22 And,571,5.03,0.4,#fef9ff
2.62375,57.165556,,584,6.74,-0.08,#c7d4ff
2.578333,-5.248611,,587,5.84,0.98,#ffe5c7
2.50875,-82.223889,Gam3Oct,636,5.28,1.05,#ffe3c3
2.678333,-12.58,,645,5.85,1.01,#ffe4c5
2.660833,-73.224444,,661,6.64,0.37,#faf7ff
2.81625,-15.468056,6 Cet,693,4.89,0.49,#fff7f6
2.893333,-27.799722,Kap2Scl,720,5.41,1.34,#ffdaad
2.933333,-35.133056,The Scl,739,5.25,0.44,#fef9fb
2.99625,48.1525,,743,6.16,1.45,#ffd6a5
3.041667,-17.938333,,787,5.25,1.48,#ffd5a2
3.21,37.693333,,829,6.73,-0.13,#beceff
3.309167,15.183611,88Gam Peg,886,2.83,-0.23,#adc1ff
3.35,26.987222,,895,6.3,0.65,#fff1e5
3.378333,41.035278,23 And,905,5.72,0.31,#f4f2ff
3.425417,-26.021944,,942,5.94,1.55,#ffd29c
3.434167,-26.284722,,943,6.31,1.48,#ffd5a2
3.509583,33.206111,,952,6.25,-0.01,#ccd8ff
3.650833,20.206667,89Chi Peg,1013,4.8,1.57,#ffd199
3.615,-7.780556,,1014,5.12,1.62,#ffce93
3.330833,-84.994167,,1032,5.77,1.72,#ffc57f
3.66,-18.932778,7 Cet,1038,4.44,1.66,#ffcb8d
3.73375,22.284167,,1048,6.24,-0.01,#ccd8ff
3.745,8.820833,35 Psc,1061,5.79,0.31,#f4f2ff
3.727083,-9.569722,,1064,5.75,-0.08,#c7d4ff
3.779167,31.535833,,1075,6.45,null,#ffffff
3.794167,27.283056,,1083,6.35,-0.02,#ccd8ff
3.7425,-34.904444,,1089,6.17,1.34,#ffdaad
4.058333,76.950833,,1141,6.35,-0.07,#c8d5ff
4.09,43.594722,,1185,6.15,0.05,#dae2ff
4.037083,-31.446389,,1187,5.67,1.35,#ffdaad
3.98,-75.911389,,1221,6.49,1,#ffe5c6
4.142083,8.24,36 Psc,1227,6.11,0.92,#ffe7cc
4.237917,61.533333,,1239,5.74,0.88,#ffe8cf
4.177083,-20.210556,,1256,6.47,-0.09,#c5d3ff
4.287917,47.9475,,1279,5.89,-0.09,#c5d3ff
4.272917,38.681667,24The And,1280,4.61,0.06,#dbe2ff
4.204167,-78.780556,,1324,6.77,0.46,#fff8f9
4.429167,51.433056,,1337,6.14,-0.13,#beceff
4.385833,-19.051111,,1343,6.45,0.37,#faf7ff
4.44875,1.688889,,1367,6.17,0.94,#ffe6ca
4.582083,36.785278,25Sig And,1404,4.52,0.05,#dae2ff
4.571667,11.205833,,1419,6.05,1.03,#ffe3c4
4.675417,43.791111,26 And,1438,6.11,-0.08,#c7d4ff
4.659583,31.517222,,1439,5.87,-0.01,#ccd8ff
4.674167,-8.052778,,1461,6.46,0.68,#ffefe2
4.6775,-43.235278,,1483,6.33,1.21,#ffdeb7
4.857083,-8.823889,8Iot Cet,1522,3.56,1.22,#ffdeb6
4.923333,40.729722,,1527,6.33,1.18,#ffdfb9
5.021667,48.865278,,1561,6.52,null,#ffffff
5.017917,-64.874722,Zet Tuc,1581,4.23,0.58,#fff3ec
5.101667,30.935833,,1606,5.9,-0.1,#c4d2ff
5.189583,32.911389,,1632,5.79,1.59,#ffd097
5.149583,8.190278,41 Psc,1635,5.37,1.34,#ffdaad
5.227083,10.976944,,1663,6.56,null,#ffffff
5.280417,37.968611,27Rho And,1671,5.18,0.42,#fef9fd
5.1625,-69.625,Pi Tuc,1685,5.51,-0.05,#ccd8ff
5.38,-28.981667,Iot Scl,1737,5.18,1,#ffe5c6
5.442917,-20.057778,,1760,5.12,1.82,#ffb15a
5.60625,13.4825,42 Psc,1796,6.23,1.22,#ffdeb6
5.369167,-77.426944,,1801,5.97,1.4,#ffd8a9
5.715833,-12.209444,9 Cet,1835,6.39,0.66,#fff0e4
5.8025,-31.036111,,1909,6.55,0,#ffffff
6.065,52.02,,1976,5.57,-0.12,#c0cfff
6.197917,61.831111,12 Cas,2011,5.4,0,#ffffff
6.12375,-2.219167,,2023,6.07,1.22,#ffdeb6
6.276667,53.046944,,2054,5.74,-0.06,#cad6ff
6.350833,1.939722,44 Psc,2114,5.77,0.86,#ffe8d1
6.437917,-77.254167,Bet Hyi,2151,2.8,0.62,#fff2e8
6.570833,-42.306111,Alp Phe,2261,2.39,1.09,#ffe2bf
6.550833,-43.68,Kap Phe,2262,3.94,0.17,#e6eaff
6.655833,-0.049722,10 Cet,2273,6.19,0.9,#ffe8ce
6.81125,-25.547222,,2363,5.98,1.03,#ffe3c4
7.012083,17.893056,47 Psc,2411,5.06,1.65,#ffcc8f
7.057083,44.394444,,2421,5.17,0.03,#d9e1ff
6.982083,-33.007222,Eta Scl,2429,4.81,1.64,#ffcc90
7.052917,16.445,48 Psc,2436,6.06,1.58,#ffd098
7.08375,10.189722,,2454,6.04,0.43,#fef9fc
7.087917,-20.335,,2475,6.43,0.59,#fff3eb
7.11,-39.915,,2490,5.43,1.56,#ffd19a
7.235833,36.9,,2507,6.26,0.92,#ffe7cc
7.179583,-50.532778,,2529,6.26,1.09,#ffe2bf
7.729167,77.019444,,2589,6.21,0.84,#ffe9d2
7.582917,59.977222,,2626,5.94,0.01,#d9e1ff
7.530417,29.751667,28 And,2628,5.23,0.24,#edeeff
7.46625,-14.864167,,2630,6.14,0.37,#faf7ff
7.45375,-32.116667,,2632,6.57,1.34,#ffdaad
7.51,-3.957222,12 Cet,2637,5.72,1.56,#ffd19a
7.594583,-23.787778,,2696,5.19,0.12,#e1e6ff
7.615833,-40.939444,,2724,6.19,0.33,#f6f4ff
7.60875,-48.215,,2726,5.69,0.35,#f8f6ff
7.855417,66.519444,13 Cas,2729,6.18,-0.1,#c4d2ff
7.856667,33.581667,,2767,5.87,1.14,#ffe0bb
7.943333,54.522222,14Lam Cas,2772,4.73,-0.1,#c4d2ff
7.921667,52.839444,,2774,5.6,1.15,#ffe0bb
